(43.0202459, -105.5046206)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(40.1943199, -109.5770954)
(40.1943199, -109.5770954)
(39.5699803, -105.2561918)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(38.4692006, -105.4328621)
(38.4692006, -105.4328621)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(41.7423474, -106.8625644)
(41.6684047, -105.6812632)
(44.4952545, -108.0024781)
(38.4692006, -105.4328621)
(38.4692006, -105.4328621)
(38.4692006, -105.4328621)
(38.4692006, -105.4328621)
(38.4692006, -105.4328621)
(38.478504, -107.8777768)
(36.7475509, -102.5402406)
(36.7475509, -102.5402406)
(41.6684047, -105.6812632)
(41.7423474, -106.8625644)
(38.9844774, -110.8038548)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(44.5746536, -104.5816095)
(41.5, 85.5)
(41.5, 85.5)
(38.7251776, -105.6077166)
(44.0155638, -106.6140814)
(44.4952545, -108.0024781)
(41.6684047, -105.6812632)
(38.9844774, -110.8038548)
(41.6684047, -105.6812632)
(36.7475509, -102.5402406)
(39.0589084, -108.5659959)
(39.0589084, -108.5659959)
(41.6684047, -105.6812632)
(44.4952545, -108.0024781)
(41.6684047, -105.6812632)
(41.7423474, -106.8625644)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(41.6684047, -105.6812632)
(40.1943199, -109.5770954)
(44.0155638, -106.6140814)
(40.1943199, -109.5770954)
(38.9634637, -109.6619898)
(44.4952545, -108.0024781)
(45.2050058, -109.1434791)
(39.0589084, -108.5659959)
(39.6232141, -8.73183654546936)
(41.6684047, -105.6812632)
(38.9844774, -110.8038548)
(44.4952545, -108.0024781)
(43.9308684, -107.6704087)
(38.3079634, -111.1243087)
(40.1943199, -109.5770954)
(41.7423474, -106.8625644)
(38.5458246, -106.9253206)
(38.5458246, -106.9253206)
(41.6684047, -105.6812632)
(38.9844774, -110.8038548)
(39.0589084, -108.5659959)
(44.0155638, -106.6140814)
(40.6083135, -108.2523449)
